rep,fold,accuracy,recall,f1_score,features_selected,time_selection,time_total,train_time,pred_time
1,1,0.9194174757281554,0.9191223258870466,0.9194563619573151,"[9, 558, 268, 50, 504, 56, 3, 368, 201, 53, 271, 52, 214, 228, 41, 510, 367, 49, 6, 559, 502, 202, 40, 203, 516, 507, 215, 227, 216, 234, 503, 42, 523, 280, 366, 51, 102, 274, 359, 54, 265, 517, 200, 515, 205, 57, 287, 103, 520, 213, 560, 218, 87, 15, 350, 104, 84, 182, 348, 288, 95, 226, 231, 22, 445, 58, 549, 518, 184, 83, 351, 289, 12, 86, 266]",183.4651927947998,183.66569566726685,0.0020139217376708984,0.14686131477355957
1,2,0.9097087378640777,0.9106699586224752,0.9107005959568544,"[9, 558, 504, 50, 268, 228, 56, 3, 53, 201, 227, 559, 214, 271, 52, 510, 41, 502, 367, 49, 203, 6, 40, 516, 202, 507, 368, 503, 216, 215, 366, 42, 280, 233, 102, 51, 523, 274, 234, 54, 265, 517, 359, 87, 200, 57, 205, 287, 213, 515, 218, 560, 520, 103, 350, 104, 15, 84, 182, 445, 518, 288, 22, 348, 95, 58, 184, 226, 549, 231, 12, 83, 289, 351, 86]",185.13247990608215,185.29942774772644,0.0009992122650146484,0.16065359115600586
1,3,0.9276699029126214,0.9287305268481013,0.9291224166462593,"[9, 558, 268, 53, 504, 56, 3, 227, 201, 559, 510, 52, 214, 271, 41, 6, 49, 367, 502, 50, 507, 516, 40, 265, 202, 203, 368, 503, 234, 215, 228, 42, 216, 274, 523, 51, 366, 102, 280, 54, 359, 517, 200, 83, 205, 57, 515, 213, 350, 560, 218, 520, 103, 287, 348, 15, 104, 344, 84, 87, 182, 288, 58, 22, 86, 445, 226, 89, 184, 231, 549, 518, 95, 12, 447]",181.69190883636475,181.85364747047424,0.0020020008087158203,0.15569305419921875
1,4,0.9140776699029126,0.914449427722071,0.9142893269737161,"[9, 558, 201, 50, 268, 56, 504, 368, 214, 53, 3, 52, 271, 516, 559, 503, 510, 41, 367, 49, 502, 6, 40, 507, 227, 203, 202, 228, 216, 234, 215, 42, 366, 523, 51, 280, 102, 265, 54, 359, 274, 517, 515, 200, 287, 57, 520, 205, 350, 560, 213, 218, 103, 182, 104, 87, 15, 84, 288, 348, 549, 445, 95, 58, 226, 231, 518, 83, 509, 22, 184, 12, 351, 536, 289]",180.94780707359314,181.10673928260803,0.0019974708557128906,0.15341591835021973
1,5,0.9242350655658087,0.9245315020689929,0.9250146581880828,"[9, 558, 504, 53, 268, 56, 368, 201, 3, 50, 228, 52, 214, 271, 41, 510, 367, 49, 502, 559, 203, 6, 40, 507, 227, 202, 216, 516, 503, 234, 215, 42, 280, 366, 102, 523, 51, 265, 274, 54, 359, 517, 84, 200, 287, 205, 57, 345, 213, 515, 218, 560, 520, 104, 350, 15, 103, 182, 288, 348, 87, 226, 22, 231, 58, 95, 445, 549, 351, 83, 518, 184, 69, 12, 289]",182.6039309501648,182.7630169391632,0.0009987354278564453,0.15506744384765625
2,1,0.9179611650485436,0.917695074959329,0.9182505002149646,"[9, 558, 504, 50, 268, 56, 510, 201, 53, 3, 368, 52, 214, 271, 41, 516, 502, 49, 367, 559, 507, 6, 40, 203, 202, 227, 216, 234, 215, 228, 503, 42, 523, 366, 280, 51, 102, 265, 274, 54, 359, 517, 287, 200, 103, 205, 57, 515, 213, 520, 560, 218, 350, 104, 15, 87, 182, 84, 288, 348, 445, 226, 549, 231, 58, 95, 184, 22, 518, 12, 83, 289, 447, 351, 266]",183.4841284751892,183.65383505821228,0.0020143985748291016,0.1636667251586914
2,2,0.9169902912621359,0.9167597767526597,0.9176705832616888,"[9, 558, 503, 50, 3, 56, 268, 201, 228, 53, 214, 52, 504, 367, 41, 6, 510, 49, 271, 559, 202, 215, 40, 227, 265, 502, 368, 507, 516, 203, 42, 216, 234, 274, 54, 280, 359, 523, 51, 366, 517, 102, 84, 350, 200, 57, 515, 205, 520, 560, 213, 83, 218, 345, 348, 287, 103, 344, 15, 182, 104, 87, 58, 288, 89, 226, 22, 351, 231, 86, 445, 95, 549, 518, 184]",182.9746651649475,183.13624572753906,0.0020134449005126953,0.15554594993591309
2,3,0.916504854368932,0.9171092193561542,0.9177169635220502,"[9, 558, 268, 53, 228, 504, 56, 3, 559, 201, 271, 50, 227, 214, 52, 510, 41, 6, 516, 49, 203, 502, 40, 367, 216, 503, 368, 507, 202, 102, 215, 42, 366, 233, 280, 51, 523, 274, 265, 54, 234, 359, 517, 200, 287, 57, 205, 515, 213, 350, 520, 560, 218, 103, 104, 15, 182, 84, 518, 87, 445, 288, 348, 22, 226, 58, 549, 231, 83, 95, 184, 12, 86, 447, 289]",188.38497304916382,188.53410506248474,0.0010042190551757812,0.14510822296142578
2,4,0.9223300970873787,0.9231372250790503,0.923271064058576,"[9, 558, 504, 53, 268, 56, 368, 3, 201, 41, 271, 52, 214, 227, 559, 502, 367, 49, 510, 50, 507, 202, 40, 6, 228, 215, 203, 516, 503, 234, 216, 42, 523, 102, 280, 51, 366, 517, 54, 265, 274, 359, 200, 515, 205, 103, 57, 520, 213, 218, 560, 287, 104, 350, 15, 84, 87, 288, 348, 182, 95, 22, 445, 58, 226, 549, 231, 184, 83, 518, 289, 69, 12, 351, 447]",186.29849100112915,186.46298909187317,0.001008749008178711,0.15895438194274902
2,5,0.9188926663428849,0.9172494744740675,0.9175978922528735,"[9, 558, 504, 50, 268, 56, 368, 201, 53, 3, 510, 52, 271, 214, 41, 227, 49, 502, 367, 559, 6, 203, 40, 202, 228, 216, 507, 516, 503, 234, 215, 42, 366, 102, 280, 51, 523, 265, 274, 54, 359, 517, 87, 200, 287, 205, 57, 515, 213, 520, 218, 560, 103, 350, 15, 104, 84, 348, 288, 182, 95, 445, 58, 226, 549, 509, 22, 231, 184, 518, 12, 83, 351, 289, 86]",182.25033259391785,182.40682291984558,0.0,0.15204668045043945
