rep,fold,clf_type,accuracy,f1_score,recall,train_time,pred_time,features_selected,total_time_fs,server_energy_kwh,server_co2_kg,total_client_energy_kwh,total_client_co2_kg,grand_total_energy,grand_total_emissions,n_clients_reporting
1,1,knn,0.8635922330097088,0.8715355763235181,0.8711375292879794,0.002507448196411133,0.17535018920898438,"[9, 268, 3, 271, 504, 510, 6, 214, 201, 502, 507, 216, 203, 366, 280, 265, 523, 287, 367, 368, 215, 202, 234, 227, 350, 228, 359, 213, 218, 205, 200, 517, 520, 515, 15, 102, 288, 103, 516, 274, 104, 83, 226, 231, 95, 86, 266, 447, 87, 184, 289, 12, 536, 549, 272, 445, 84, 446, 182, 244, 239, 260, 503, 135, 344, 348, 99, 363, 208, 221, 438, 347, 345, 351, 4]",0.1748349666595459,4.261277736112308e-05,7.416753899703473e-06,1.4557877916649886e-06,2.533798651392913e-07,4.406856515278807e-05,7.670133764842765e-06,2
1,2,knn,0.8592233009708737,0.8675225281106179,0.867319720419176,0.0030164718627929688,0.05400681495666504,"[9, 268, 3, 271, 510, 504, 6, 214, 201, 507, 502, 228, 216, 203, 366, 280, 265, 523, 227, 287, 368, 367, 350, 215, 202, 234, 516, 517, 200, 218, 213, 205, 359, 102, 520, 515, 15, 288, 103, 87, 104, 233, 83, 95, 86, 231, 226, 447, 184, 274, 445, 12, 289, 266, 536, 272, 549, 84, 446, 239, 244, 260, 503, 135, 182, 284, 99, 208, 221, 344, 348, 345, 347, 438, 363]",0.14809679985046387,3.806105458334565e-05,6.624526550231311e-06,7.765256805552983e-07,1.3515429470064967e-07,3.883758026390095e-05,6.759680844931961e-06,2
1,3,knn,0.8563106796116505,0.8658295836392379,0.8659125005417257,0.002321958541870117,0.052433013916015625,"[9, 268, 3, 271, 6, 510, 504, 265, 201, 214, 507, 502, 203, 216, 366, 280, 523, 83, 287, 350, 234, 367, 368, 227, 202, 215, 344, 200, 213, 205, 218, 359, 520, 515, 517, 102, 274, 15, 228, 86, 288, 103, 516, 447, 104, 184, 226, 231, 95, 12, 266, 87, 445, 536, 549, 289, 347, 503, 272, 446, 239, 244, 260, 84, 135, 438, 182, 348, 221, 208, 363, 99, 345, 351, 4]",0.12523746490478516,3.827942201388118e-05,6.66253340151602e-06,7.938284444458076e-07,1.3816584075579283e-07,3.907325045832699e-05,6.800699242271812e-06,2
1,4,knn,0.8699029126213592,0.8786587264281103,0.878484328163648,0.002997159957885742,0.03830361366271973,"[9, 268, 3, 271, 214, 201, 510, 504, 6, 507, 502, 203, 216, 366, 265, 280, 523, 215, 202, 287, 368, 367, 350, 234, 227, 503, 213, 205, 200, 218, 359, 517, 102, 520, 515, 228, 15, 288, 516, 103, 104, 83, 274, 226, 231, 549, 95, 86, 445, 447, 266, 536, 87, 184, 12, 289, 272, 446, 84, 244, 239, 260, 182, 344, 135, 348, 363, 347, 208, 221, 438, 351, 99, 345, 4]",0.16144442558288574,3.774424097223977e-05,6.569385141218332e-06,8.034731944455112e-07,1.3984450949324122e-07,3.8547714166685285e-05,6.709229650711574e-06,2
1,5,knn,0.860611947547353,0.8693331855616228,0.8691786576223371,0.00109100341796875,0.045154571533203125,"[9, 268, 3, 271, 504, 510, 6, 214, 201, 216, 203, 502, 507, 280, 366, 265, 523, 287, 368, 367, 234, 227, 202, 215, 350, 228, 200, 205, 218, 213, 15, 359, 517, 102, 520, 515, 288, 103, 516, 345, 104, 83, 226, 231, 266, 84, 95, 274, 86, 447, 12, 289, 272, 184, 87, 445, 503, 549, 363, 536, 239, 244, 446, 260, 182, 351, 344, 13, 135, 348, 208, 221, 347, 4, 99]",0.1947190761566162,3.964102347223641e-05,6.899520135342748e-06,9.650687222238553e-07,1.6797021110306203e-07,4.060609219446027e-05,7.06749034644581e-06,2
2,1,knn,0.8514563106796117,0.8607749885890379,0.8609007561156431,0.0015177726745605469,0.0424809455871582,"[9, 268, 3, 271, 504, 510, 6, 201, 214, 507, 502, 203, 216, 366, 280, 265, 523, 287, 367, 234, 368, 202, 215, 227, 350, 218, 213, 205, 200, 359, 102, 228, 15, 517, 520, 515, 288, 103, 516, 104, 184, 83, 266, 274, 447, 12, 226, 231, 95, 289, 445, 86, 87, 549, 536, 272, 239, 244, 446, 503, 84, 260, 182, 135, 284, 208, 221, 344, 363, 348, 99, 345, 351, 347, 4]",0.12394142150878906,3.7808448819448086e-05,6.58056051702494e-06,6.906955972231622e-07,1.202155686966914e-07,3.849914441667125e-05,6.700776085721631e-06,2
2,2,knn,0.8475728155339806,0.8567999198214552,0.857284982627029,0.0020461082458496094,0.0482025146484375,"[9, 3, 268, 6, 271, 214, 201, 510, 504, 265, 503, 215, 202, 507, 502, 203, 216, 366, 280, 523, 83, 350, 287, 367, 368, 227, 344, 234, 218, 213, 205, 200, 359, 520, 515, 228, 517, 274, 15, 86, 102, 288, 345, 103, 516, 226, 231, 84, 447, 104, 95, 87, 12, 184, 266, 289, 445, 549, 347, 536, 272, 260, 182, 446, 351, 363, 348, 244, 239, 438, 135, 208, 221, 99, 229]",0.12798380851745605,3.830041006942414e-05,6.666186372583272e-06,7.874607361087429e-07,1.3705754111972672e-07,3.908787080553288e-05,6.803243913702998e-06,2
2,3,knn,0.8553398058252427,0.8644527858854066,0.8639494052979432,0.0022475719451904297,0.04944658279418945,"[9, 268, 3, 271, 6, 510, 504, 201, 214, 228, 216, 203, 502, 507, 366, 265, 280, 227, 523, 287, 368, 350, 367, 516, 234, 215, 202, 218, 213, 205, 200, 359, 517, 102, 520, 515, 15, 288, 103, 83, 233, 104, 231, 226, 274, 86, 95, 447, 266, 445, 87, 184, 12, 549, 289, 272, 536, 446, 244, 239, 84, 503, 260, 135, 182, 344, 13, 348, 363, 347, 438, 99, 208, 221, 345]",0.1533055305480957,3.79325879860946e-05,6.602166938979766e-06,7.947694305529593e-07,1.3832961938774256e-07,3.8727357416647565e-05,6.740496558367509e-06,2
2,4,knn,0.8660194174757282,0.8742970679086727,0.8749576161347979,0.002000093460083008,0.04802393913269043,"[9, 268, 3, 271, 504, 510, 6, 214, 201, 502, 507, 216, 203, 280, 265, 366, 523, 287, 368, 367, 202, 215, 234, 227, 350, 205, 213, 200, 218, 359, 517, 515, 520, 102, 15, 228, 288, 103, 104, 516, 83, 447, 95, 231, 226, 266, 274, 86, 184, 289, 87, 12, 549, 445, 536, 272, 503, 84, 260, 446, 239, 244, 182, 135, 344, 208, 221, 348, 438, 363, 345, 347, 99, 351, 4]",0.12379145622253418,3.8000912430557794e-05,6.614058808538585e-06,7.283080555536495e-07,1.2676201706911272e-07,3.8729220486111446e-05,6.740820825607697e-06,2
2,5,knn,0.8674113647401651,0.8752320415484096,0.8752922105295231,0.002256155014038086,0.0541079044342041,"[9, 268, 504, 3, 271, 510, 6, 214, 201, 216, 203, 502, 507, 366, 265, 280, 523, 287, 368, 234, 367, 202, 215, 227, 350, 200, 213, 218, 205, 102, 517, 228, 359, 15, 515, 520, 288, 516, 103, 87, 104, 274, 83, 86, 231, 226, 12, 95, 266, 184, 447, 289, 445, 536, 549, 503, 272, 244, 239, 84, 446, 260, 135, 182, 99, 344, 208, 221, 348, 347, 351, 438, 363, 345, 4]",0.1705036163330078,3.803269194444662e-05,6.619590032930935e-06,8.539985694450378e-07,1.4863845101190884e-07,3.888669051389166e-05,6.768228483942844e-06,2
3,1,knn,0.8577669902912621,0.8657742610927494,0.8662554196305082,0.002574920654296875,0.040544986724853516,"[9, 3, 268, 271, 201, 214, 6, 504, 265, 510, 507, 502, 366, 216, 203, 280, 202, 215, 523, 287, 368, 350, 367, 344, 234, 227, 503, 517, 359, 213, 200, 205, 218, 515, 520, 228, 102, 83, 15, 274, 288, 516, 103, 104, 231, 226, 86, 95, 184, 447, 289, 87, 549, 266, 12, 536, 446, 445, 272, 363, 84, 239, 244, 260, 182, 13, 135, 347, 99, 348, 221, 208, 438, 345, 229]",0.13027310371398926,3.79814088888995e-05,6.610664217112958e-06,7.565324027773891e-07,1.316744647034046e-07,3.8737941291676886e-05,6.7423386818163626e-06,2
3,2,knn,0.8466019417475729,0.8558951216136267,0.8555159221676263,0.0025129318237304688,0.04802227020263672,"[9, 268, 3, 271, 504, 510, 6, 214, 201, 502, 507, 366, 216, 203, 523, 280, 265, 287, 367, 368, 234, 227, 350, 517, 215, 202, 200, 205, 218, 213, 359, 228, 15, 515, 520, 102, 288, 103, 516, 104, 83, 95, 226, 231, 274, 266, 86, 184, 12, 87, 445, 447, 289, 549, 536, 272, 244, 239, 446, 260, 84, 503, 135, 182, 344, 208, 221, 348, 438, 363, 347, 345, 99, 351, 4]",0.14995908737182617,3.796800798611204e-05,6.608331789982801e-06,7.468419305604988e-07,1.2998783801405482e-07,3.871484991667254e-05,6.738319627996856e-06,2
3,3,knn,0.8577669902912621,0.8671632283221739,0.8673406694257073,0.0030112266540527344,0.045583248138427734,"[9, 268, 3, 271, 510, 504, 6, 214, 201, 502, 507, 216, 203, 280, 366, 265, 523, 287, 367, 368, 227, 350, 234, 202, 215, 213, 218, 200, 205, 359, 228, 520, 515, 15, 102, 517, 288, 103, 516, 104, 274, 447, 83, 231, 226, 95, 266, 184, 86, 87, 272, 289, 12, 549, 536, 445, 503, 244, 239, 84, 260, 446, 182, 348, 135, 208, 221, 284, 344, 347, 345, 363, 4, 99, 438]",0.15056848526000977,3.7987075902780515e-05,6.611650560878949e-06,8.114770972234611e-07,1.4123758877174342e-07,3.8798553000003974e-05,6.752888149650693e-06,2
3,4,knn,0.8723300970873786,0.8811956566548417,0.8810027636414878,0.002007007598876953,0.04823803901672363,"[9, 268, 3, 271, 504, 510, 507, 502, 6, 214, 201, 203, 216, 228, 366, 265, 227, 280, 523, 287, 368, 367, 234, 516, 202, 215, 102, 350, 218, 205, 200, 213, 359, 15, 288, 520, 515, 517, 95, 231, 226, 103, 104, 345, 87, 347, 233, 445, 274, 447, 84, 83, 438, 184, 12, 536, 266, 289, 86, 549, 272, 446, 503, 260, 239, 244, 182, 99, 135, 509, 351, 221, 208, 344, 348]",0.14941954612731934,3.818055548610649e-05,6.645325682356835e-06,8.164653888901638e-07,1.4210580093633301e-07,3.899702087499666e-05,6.787431483293168e-06,2
3,5,knn,0.8567265662943176,0.8654244507412162,0.8652027207012994,0.0020668506622314453,0.041272640228271484,"[9, 268, 3, 271, 510, 504, 6, 214, 201, 507, 502, 203, 216, 265, 366, 280, 523, 287, 215, 202, 368, 367, 227, 350, 234, 205, 200, 213, 218, 359, 228, 517, 15, 515, 520, 102, 288, 103, 516, 83, 104, 86, 231, 226, 95, 274, 12, 447, 87, 266, 445, 289, 549, 184, 84, 272, 503, 536, 244, 239, 446, 260, 344, 135, 348, 182, 363, 99, 208, 221, 522, 345, 438, 351, 347]",0.1370241641998291,3.786085958334348e-05,6.5896826104809335e-06,7.610226666631408e-07,1.3245599513271967e-07,3.862188225000662e-05,6.722138605613653e-06,2
