rep,fold,clf_type,accuracy,f1_score,recall,train_time,pred_time,features_selected,total_time_fs,server_energy_kwh,server_co2_kg,total_client_energy_kwh,total_client_co2_kg,grand_total_energy,grand_total_emissions,n_clients_reporting
1,1,knn,0.8442307692307692,0.8441610335986147,0.8442307692307692,0.0,0.13408994674682617,"[241, 338, 378, 153, 475, 442, 128, 336, 472, 64, 48, 433, 105, 281, 453, 28, 493, 318, 451, 455, 243, 323, 456, 303, 374, 285, 245, 306, 43, 494, 55, 317, 4, 195, 314, 411, 99, 458, 96, 10, 192, 417, 200, 204, 69, 319, 9, 102, 282, 385, 1, 84, 167, 302, 377, 85, 271, 410, 31, 444, 419, 496, 269, 481, 322, 209, 13, 142, 278, 422, 73, 158, 205, 49, 201]",5.422853946685791,0.00013343962159722135,2.3225166138996378e-05,2.025966326389001e-05,3.5261943910800564e-06,0.00015369928486111135,2.6751360530076434e-05,2
1,2,knn,0.8288461538461539,0.8288151329197968,0.8288461538461538,0.0,0.012244224548339844,"[338, 378, 241, 472, 475, 128, 281, 105, 442, 336, 64, 48, 153, 433, 493, 318, 453, 451, 28, 455, 285, 269, 55, 374, 323, 481, 243, 72, 71, 25, 317, 358, 255, 125, 200, 10, 31, 445, 494, 142, 189, 367, 310, 429, 102, 385, 226, 280, 410, 303, 496, 170, 180, 276, 309, 33, 251, 184, 259, 411, 308, 4, 431, 375, 267, 278, 436, 295, 161, 42, 263, 334, 458, 99, 147]",5.702657222747803,0.000133770422708335,2.328274207238571e-05,2.0677375208333992e-05,3.5988971550105315e-06,0.000154447797916669,2.688163922739624e-05,2
1,3,knn,0.8576923076923076,0.8576902025177887,0.8576923076923078,0.0,0.012033700942993164,"[338, 48, 241, 442, 475, 128, 472, 336, 105, 64, 153, 378, 281, 433, 493, 453, 318, 451, 28, 455, 323, 98, 238, 374, 317, 167, 234, 417, 10, 126, 306, 55, 303, 496, 444, 385, 411, 269, 314, 424, 497, 204, 286, 102, 69, 408, 243, 285, 74, 276, 99, 339, 437, 86, 263, 348, 333, 363, 419, 372, 180, 367, 463, 33, 393, 217, 346, 277, 151, 490, 96, 15, 73, 391, 395]",5.337059259414673,0.00012714814534722213,2.2130134697684013e-05,1.9374471722222903e-05,3.3721268032528963e-06,0.00014652261706944502,2.550226150093691e-05,2
1,4,knn,0.823076923076923,0.8229826534841039,0.823076923076923,0.0,0.014316558837890625,"[338, 378, 241, 442, 105, 475, 472, 128, 336, 64, 48, 281, 433, 153, 451, 493, 28, 318, 453, 455, 317, 278, 43, 10, 323, 285, 243, 463, 411, 374, 248, 73, 234, 456, 303, 96, 71, 119, 497, 200, 204, 467, 496, 55, 167, 56, 282, 13, 301, 279, 88, 306, 180, 5, 316, 102, 40, 385, 356, 273, 4, 238, 417, 199, 302, 263, 444, 358, 182, 480, 208, 376, 457, 432, 289]",5.498206853866577,0.000129956670763886,2.261895854645436e-05,1.9944453291667386e-05,3.4713320954147088e-06,0.0001499011240555534,2.609029064186907e-05,2
1,5,knn,0.8557692307692307,0.8557644300291061,0.8557692307692308,0.0,0.010584115982055664,"[241, 338, 378, 442, 475, 128, 472, 336, 64, 48, 281, 105, 493, 433, 153, 318, 453, 451, 28, 455, 481, 55, 10, 243, 374, 323, 25, 43, 408, 244, 419, 4, 410, 494, 98, 409, 202, 234, 124, 71, 18, 436, 349, 184, 399, 86, 314, 246, 361, 101, 251, 310, 417, 424, 317, 149, 53, 290, 125, 384, 319, 285, 204, 353, 454, 130, 99, 131, 173, 270, 159, 102, 456, 44, 356]",5.509304761886597,0.0001426956150694423,3.392186765886647e-07,2.1214082777776438e-05,1.980816290397061e-06,0.00016390969784721874,2.3200349669857255e-06,2
2,1,knn,0.8346153846153846,0.8345272630394884,0.8346153846153845,0.0,0.016258716583251953,"[241, 338, 378, 442, 475, 128, 281, 64, 472, 105, 336, 48, 433, 453, 318, 493, 153, 451, 28, 455, 374, 269, 98, 317, 55, 4, 303, 43, 496, 463, 49, 323, 494, 285, 445, 243, 417, 361, 367, 196, 31, 96, 248, 88, 462, 411, 10, 84, 302, 170, 422, 129, 280, 480, 333, 263, 5, 410, 102, 192, 251, 184, 110, 334, 314, 202, 389, 460, 255, 424, 229, 63, 33, 391, 385]",5.348355054855347,0.00012728680138888472,2.2154267781735386e-05,1.9371160916667298e-05,3.3715505575459434e-06,0.00014665796230555202,2.552581833928133e-05,2
2,2,knn,0.8576923076923076,0.8576923076923076,0.8576923076923076,0.0,0.01601576805114746,"[338, 241, 48, 281, 475, 128, 442, 105, 472, 64, 336, 153, 378, 433, 453, 318, 493, 28, 451, 455, 481, 278, 374, 303, 98, 243, 456, 323, 410, 32, 314, 496, 55, 411, 84, 436, 10, 6, 263, 277, 285, 367, 71, 200, 184, 204, 69, 340, 74, 385, 313, 376, 262, 463, 99, 377, 252, 353, 370, 424, 224, 125, 363, 9, 391, 126, 72, 209, 199, 337, 267, 59, 244, 205, 119]",5.470138311386108,0.00012936111520832396,2.2515302102008788e-05,1.9823344124999567e-05,3.450253044956175e-06,0.00014918445933332353,2.5965555146964964e-05,2
2,3,knn,0.8307692307692308,0.8307466970454647,0.8307692307692307,0.0,0.006135702133178711,"[475, 338, 378, 241, 442, 128, 336, 472, 64, 48, 153, 105, 281, 493, 433, 453, 28, 318, 451, 455, 323, 130, 96, 10, 55, 4, 269, 377, 285, 102, 317, 374, 405, 8, 243, 411, 251, 86, 254, 271, 428, 180, 109, 282, 13, 337, 17, 23, 303, 263, 88, 124, 184, 25, 126, 69, 228, 314, 181, 419, 289, 245, 331, 389, 348, 491, 125, 192, 167, 444, 99, 417, 302, 31, 234]",5.493976354598999,0.000130052747013892,2.2635680617767904e-05,1.996878662499992e-05,3.4755673120812358e-06,0.00015002153363889194,2.611124792984914e-05,2
2,4,knn,0.8423076923076923,0.842286694974183,0.8423076923076923,0.0,0.008319377899169922,"[338, 378, 241, 442, 336, 475, 472, 128, 105, 64, 48, 281, 153, 433, 493, 451, 453, 28, 318, 455, 323, 374, 243, 317, 234, 285, 411, 166, 25, 226, 86, 457, 257, 170, 55, 204, 481, 26, 71, 99, 238, 458, 10, 36, 96, 282, 142, 125, 278, 74, 269, 151, 413, 255, 167, 131, 367, 306, 497, 434, 200, 419, 13, 339, 192, 95, 102, 393, 444, 456, 431, 196, 320, 114, 283]",5.5601277351379395,0.0001307187090277839,2.275159130628579e-05,2.013439193055534e-05,3.504390915513157e-06,0.00015085310095833924,2.6255982221798947e-05,2
2,5,knn,0.8134615384615385,0.8130958865532051,0.8134615384615385,0.0,0.009961128234863281,"[338, 378, 241, 442, 475, 128, 472, 336, 105, 64, 153, 48, 281, 433, 493, 318, 453, 28, 451, 455, 317, 243, 55, 424, 323, 10, 306, 180, 417, 204, 456, 238, 374, 303, 43, 234, 263, 273, 73, 494, 445, 410, 259, 285, 269, 481, 18, 142, 385, 125, 102, 127, 286, 299, 314, 99, 276, 457, 310, 316, 170, 282, 200, 302, 358, 271, 146, 195, 411, 244, 496, 5, 365, 437, 251]",5.451678276062012,0.00012882440013889198,2.242188684417415e-05,1.9765941819444554e-05,3.4402621736743253e-06,0.00014859034195833652,2.5862149017848477e-05,2
